,input,output
130,dataset/1114.png,dataset/1114_mask.png
131,dataset/1115.png,dataset/1115_mask.png
132,dataset/1116.png,dataset/1116_mask.png
133,dataset/1117.png,dataset/1117_mask.png
134,dataset/1118.png,dataset/1118_mask.png
135,dataset/1119.png,dataset/1119_mask.png
136,dataset/112.png,dataset/112_mask.png
137,dataset/1120.png,dataset/1120_mask.png
138,dataset/1121.png,dataset/1121_mask.png
139,dataset/1122.png,dataset/1122_mask.png
140,dataset/1123.png,dataset/1123_mask.png
141,dataset/1124.png,dataset/1124_mask.png
142,dataset/1125.png,dataset/1125_mask.png
143,dataset/1126.png,dataset/1126_mask.png
144,dataset/1127.png,dataset/1127_mask.png
145,dataset/1128.png,dataset/1128_mask.png
146,dataset/1129.png,dataset/1129_mask.png
147,dataset/113.png,dataset/113_mask.png
148,dataset/1130.png,dataset/1130_mask.png
149,dataset/1131.png,dataset/1131_mask.png
150,dataset/1132.png,dataset/1132_mask.png
151,dataset/1133.png,dataset/1133_mask.png
152,dataset/1134.png,dataset/1134_mask.png
153,dataset/1135.png,dataset/1135_mask.png
154,dataset/1136.png,dataset/1136_mask.png
155,dataset/1137.png,dataset/1137_mask.png
156,dataset/1138.png,dataset/1138_mask.png
157,dataset/1139.png,dataset/1139_mask.png
158,dataset/114.png,dataset/114_mask.png
159,dataset/1140.png,dataset/1140_mask.png
160,dataset/1141.png,dataset/1141_mask.png
161,dataset/1142.png,dataset/1142_mask.png
162,dataset/1143.png,dataset/1143_mask.png
163,dataset/1144.png,dataset/1144_mask.png
164,dataset/1145.png,dataset/1145_mask.png
165,dataset/1146.png,dataset/1146_mask.png
166,dataset/1147.png,dataset/1147_mask.png
167,dataset/1148.png,dataset/1148_mask.png
168,dataset/1149.png,dataset/1149_mask.png
169,dataset/115.png,dataset/115_mask.png
170,dataset/1150.png,dataset/1150_mask.png
171,dataset/1151.png,dataset/1151_mask.png
172,dataset/1152.png,dataset/1152_mask.png
173,dataset/1153.png,dataset/1153_mask.png
174,dataset/1154.png,dataset/1154_mask.png
175,dataset/1155.png,dataset/1155_mask.png
176,dataset/1156.png,dataset/1156_mask.png
177,dataset/1157.png,dataset/1157_mask.png
178,dataset/1158.png,dataset/1158_mask.png
179,dataset/1159.png,dataset/1159_mask.png
180,dataset/116.png,dataset/116_mask.png
181,dataset/1160.png,dataset/1160_mask.png
182,dataset/1161.png,dataset/1161_mask.png
183,dataset/1162.png,dataset/1162_mask.png
184,dataset/1163.png,dataset/1163_mask.png
185,dataset/1164.png,dataset/1164_mask.png
186,dataset/1165.png,dataset/1165_mask.png
187,dataset/1166.png,dataset/1166_mask.png
188,dataset/1167.png,dataset/1167_mask.png
189,dataset/1168.png,dataset/1168_mask.png
190,dataset/1169.png,dataset/1169_mask.png
191,dataset/117.png,dataset/117_mask.png
192,dataset/1170.png,dataset/1170_mask.png
193,dataset/1171.png,dataset/1171_mask.png
194,dataset/1172.png,dataset/1172_mask.png
195,dataset/1173.png,dataset/1173_mask.png
196,dataset/1174.png,dataset/1174_mask.png
197,dataset/1175.png,dataset/1175_mask.png
198,dataset/1176.png,dataset/1176_mask.png
199,dataset/1177.png,dataset/1177_mask.png
200,dataset/1178.png,dataset/1178_mask.png
201,dataset/1179.png,dataset/1179_mask.png
202,dataset/118.png,dataset/118_mask.png
203,dataset/1180.png,dataset/1180_mask.png
204,dataset/1181.png,dataset/1181_mask.png
205,dataset/1182.png,dataset/1182_mask.png
206,dataset/1183.png,dataset/1183_mask.png
207,dataset/1184.png,dataset/1184_mask.png
208,dataset/1185.png,dataset/1185_mask.png
209,dataset/1186.png,dataset/1186_mask.png
210,dataset/1187.png,dataset/1187_mask.png
211,dataset/1188.png,dataset/1188_mask.png
212,dataset/1189.png,dataset/1189_mask.png
213,dataset/119.png,dataset/119_mask.png
214,dataset/1190.png,dataset/1190_mask.png
215,dataset/1191.png,dataset/1191_mask.png
216,dataset/1192.png,dataset/1192_mask.png
217,dataset/1193.png,dataset/1193_mask.png
218,dataset/1194.png,dataset/1194_mask.png
219,dataset/1195.png,dataset/1195_mask.png
220,dataset/1196.png,dataset/1196_mask.png
221,dataset/1197.png,dataset/1197_mask.png
222,dataset/1198.png,dataset/1198_mask.png
223,dataset/1199.png,dataset/1199_mask.png
224,dataset/12.png,dataset/12_mask.png
225,dataset/120.png,dataset/120_mask.png
226,dataset/1200.png,dataset/1200_mask.png
227,dataset/1201.png,dataset/1201_mask.png
228,dataset/1202.png,dataset/1202_mask.png
229,dataset/1203.png,dataset/1203_mask.png
230,dataset/1204.png,dataset/1204_mask.png
231,dataset/1205.png,dataset/1205_mask.png
232,dataset/1206.png,dataset/1206_mask.png
233,dataset/1207.png,dataset/1207_mask.png
234,dataset/1208.png,dataset/1208_mask.png
235,dataset/1209.png,dataset/1209_mask.png
236,dataset/121.png,dataset/121_mask.png
237,dataset/1210.png,dataset/1210_mask.png
238,dataset/1211.png,dataset/1211_mask.png
239,dataset/1212.png,dataset/1212_mask.png
240,dataset/1213.png,dataset/1213_mask.png
241,dataset/1214.png,dataset/1214_mask.png
242,dataset/1215.png,dataset/1215_mask.png
243,dataset/1216.png,dataset/1216_mask.png
244,dataset/1217.png,dataset/1217_mask.png
245,dataset/1218.png,dataset/1218_mask.png
246,dataset/1219.png,dataset/1219_mask.png
247,dataset/122.png,dataset/122_mask.png
248,dataset/1220.png,dataset/1220_mask.png
249,dataset/1221.png,dataset/1221_mask.png
250,dataset/1222.png,dataset/1222_mask.png
251,dataset/1223.png,dataset/1223_mask.png
252,dataset/1224.png,dataset/1224_mask.png
253,dataset/1225.png,dataset/1225_mask.png
254,dataset/1226.png,dataset/1226_mask.png
255,dataset/1227.png,dataset/1227_mask.png
256,dataset/1228.png,dataset/1228_mask.png
257,dataset/1229.png,dataset/1229_mask.png
258,dataset/123.png,dataset/123_mask.png
259,dataset/1230.png,dataset/1230_mask.png
260,dataset/1231.png,dataset/1231_mask.png
261,dataset/1232.png,dataset/1232_mask.png
262,dataset/1233.png,dataset/1233_mask.png
263,dataset/1234.png,dataset/1234_mask.png
264,dataset/1235.png,dataset/1235_mask.png
265,dataset/1236.png,dataset/1236_mask.png
266,dataset/1237.png,dataset/1237_mask.png
267,dataset/1238.png,dataset/1238_mask.png
268,dataset/1239.png,dataset/1239_mask.png
269,dataset/124.png,dataset/124_mask.png
270,dataset/1240.png,dataset/1240_mask.png
271,dataset/1241.png,dataset/1241_mask.png
272,dataset/1242.png,dataset/1242_mask.png
273,dataset/1243.png,dataset/1243_mask.png
274,dataset/1244.png,dataset/1244_mask.png
275,dataset/1245.png,dataset/1245_mask.png
276,dataset/1246.png,dataset/1246_mask.png
277,dataset/1247.png,dataset/1247_mask.png
278,dataset/1248.png,dataset/1248_mask.png
279,dataset/1249.png,dataset/1249_mask.png
280,dataset/125.png,dataset/125_mask.png
281,dataset/1250.png,dataset/1250_mask.png
282,dataset/1251.png,dataset/1251_mask.png
283,dataset/1252.png,dataset/1252_mask.png
284,dataset/1253.png,dataset/1253_mask.png
285,dataset/1254.png,dataset/1254_mask.png
286,dataset/1255.png,dataset/1255_mask.png
287,dataset/1256.png,dataset/1256_mask.png
288,dataset/1257.png,dataset/1257_mask.png
289,dataset/1258.png,dataset/1258_mask.png
290,dataset/1259.png,dataset/1259_mask.png
291,dataset/126.png,dataset/126_mask.png
292,dataset/1260.png,dataset/1260_mask.png
293,dataset/1261.png,dataset/1261_mask.png
294,dataset/1262.png,dataset/1262_mask.png
295,dataset/1263.png,dataset/1263_mask.png
296,dataset/1264.png,dataset/1264_mask.png
297,dataset/1265.png,dataset/1265_mask.png
298,dataset/1266.png,dataset/1266_mask.png
299,dataset/1267.png,dataset/1267_mask.png
300,dataset/1268.png,dataset/1268_mask.png
301,dataset/1269.png,dataset/1269_mask.png
302,dataset/127.png,dataset/127_mask.png
303,dataset/1270.png,dataset/1270_mask.png
304,dataset/1271.png,dataset/1271_mask.png
305,dataset/1272.png,dataset/1272_mask.png
306,dataset/1273.png,dataset/1273_mask.png
307,dataset/1274.png,dataset/1274_mask.png
308,dataset/1275.png,dataset/1275_mask.png
309,dataset/1276.png,dataset/1276_mask.png
310,dataset/1277.png,dataset/1277_mask.png
311,dataset/1278.png,dataset/1278_mask.png
312,dataset/1279.png,dataset/1279_mask.png
313,dataset/128.png,dataset/128_mask.png
314,dataset/1280.png,dataset/1280_mask.png
315,dataset/1281.png,dataset/1281_mask.png
316,dataset/1282.png,dataset/1282_mask.png
317,dataset/1283.png,dataset/1283_mask.png
318,dataset/1284.png,dataset/1284_mask.png
319,dataset/1285.png,dataset/1285_mask.png
320,dataset/1286.png,dataset/1286_mask.png
321,dataset/1287.png,dataset/1287_mask.png
322,dataset/1288.png,dataset/1288_mask.png
323,dataset/1289.png,dataset/1289_mask.png
324,dataset/129.png,dataset/129_mask.png
325,dataset/1290.png,dataset/1290_mask.png
326,dataset/1291.png,dataset/1291_mask.png
327,dataset/1292.png,dataset/1292_mask.png
328,dataset/1293.png,dataset/1293_mask.png
329,dataset/1294.png,dataset/1294_mask.png
330,dataset/1295.png,dataset/1295_mask.png
331,dataset/1296.png,dataset/1296_mask.png
332,dataset/1297.png,dataset/1297_mask.png
333,dataset/1298.png,dataset/1298_mask.png
334,dataset/1299.png,dataset/1299_mask.png
335,dataset/13.png,dataset/13_mask.png
336,dataset/130.png,dataset/130_mask.png
337,dataset/1300.png,dataset/1300_mask.png
338,dataset/1301.png,dataset/1301_mask.png
339,dataset/1302.png,dataset/1302_mask.png
340,dataset/1303.png,dataset/1303_mask.png
341,dataset/1304.png,dataset/1304_mask.png
342,dataset/1305.png,dataset/1305_mask.png
343,dataset/1306.png,dataset/1306_mask.png
344,dataset/1307.png,dataset/1307_mask.png
345,dataset/1308.png,dataset/1308_mask.png
346,dataset/1309.png,dataset/1309_mask.png
347,dataset/131.png,dataset/131_mask.png
348,dataset/1310.png,dataset/1310_mask.png
349,dataset/1311.png,dataset/1311_mask.png
350,dataset/1312.png,dataset/1312_mask.png
351,dataset/1313.png,dataset/1313_mask.png
352,dataset/1314.png,dataset/1314_mask.png
353,dataset/1315.png,dataset/1315_mask.png
354,dataset/1316.png,dataset/1316_mask.png
355,dataset/1317.png,dataset/1317_mask.png
356,dataset/1318.png,dataset/1318_mask.png
357,dataset/1319.png,dataset/1319_mask.png
358,dataset/132.png,dataset/132_mask.png
359,dataset/1320.png,dataset/1320_mask.png
360,dataset/1321.png,dataset/1321_mask.png
361,dataset/1322.png,dataset/1322_mask.png
362,dataset/1323.png,dataset/1323_mask.png
363,dataset/1324.png,dataset/1324_mask.png
364,dataset/1325.png,dataset/1325_mask.png
365,dataset/1326.png,dataset/1326_mask.png
366,dataset/1327.png,dataset/1327_mask.png
367,dataset/1328.png,dataset/1328_mask.png
368,dataset/1329.png,dataset/1329_mask.png
369,dataset/133.png,dataset/133_mask.png
370,dataset/1330.png,dataset/1330_mask.png
371,dataset/1331.png,dataset/1331_mask.png
372,dataset/1332.png,dataset/1332_mask.png
373,dataset/1333.png,dataset/1333_mask.png
374,dataset/1334.png,dataset/1334_mask.png
375,dataset/1335.png,dataset/1335_mask.png
376,dataset/1336.png,dataset/1336_mask.png
377,dataset/1337.png,dataset/1337_mask.png
378,dataset/1338.png,dataset/1338_mask.png
379,dataset/1339.png,dataset/1339_mask.png
380,dataset/134.png,dataset/134_mask.png
381,dataset/1340.png,dataset/1340_mask.png
382,dataset/1341.png,dataset/1341_mask.png
383,dataset/1342.png,dataset/1342_mask.png
384,dataset/1343.png,dataset/1343_mask.png
385,dataset/1344.png,dataset/1344_mask.png
386,dataset/1345.png,dataset/1345_mask.png
387,dataset/1346.png,dataset/1346_mask.png
388,dataset/1347.png,dataset/1347_mask.png
389,dataset/1348.png,dataset/1348_mask.png
390,dataset/1349.png,dataset/1349_mask.png
391,dataset/135.png,dataset/135_mask.png
392,dataset/1350.png,dataset/1350_mask.png
393,dataset/1351.png,dataset/1351_mask.png
394,dataset/1352.png,dataset/1352_mask.png
395,dataset/1353.png,dataset/1353_mask.png
396,dataset/1354.png,dataset/1354_mask.png
397,dataset/1355.png,dataset/1355_mask.png
398,dataset/1356.png,dataset/1356_mask.png
399,dataset/1357.png,dataset/1357_mask.png
400,dataset/1358.png,dataset/1358_mask.png
401,dataset/1359.png,dataset/1359_mask.png
402,dataset/136.png,dataset/136_mask.png
403,dataset/1360.png,dataset/1360_mask.png
404,dataset/1361.png,dataset/1361_mask.png
405,dataset/1362.png,dataset/1362_mask.png
406,dataset/1363.png,dataset/1363_mask.png
407,dataset/1364.png,dataset/1364_mask.png
408,dataset/1365.png,dataset/1365_mask.png
409,dataset/1366.png,dataset/1366_mask.png
410,dataset/1367.png,dataset/1367_mask.png
411,dataset/1368.png,dataset/1368_mask.png
412,dataset/1369.png,dataset/1369_mask.png
413,dataset/137.png,dataset/137_mask.png
414,dataset/1370.png,dataset/1370_mask.png
415,dataset/1371.png,dataset/1371_mask.png
416,dataset/1372.png,dataset/1372_mask.png
417,dataset/1373.png,dataset/1373_mask.png
418,dataset/1374.png,dataset/1374_mask.png
419,dataset/1375.png,dataset/1375_mask.png
420,dataset/1376.png,dataset/1376_mask.png
421,dataset/1377.png,dataset/1377_mask.png
422,dataset/1378.png,dataset/1378_mask.png
423,dataset/1379.png,dataset/1379_mask.png
424,dataset/138.png,dataset/138_mask.png
425,dataset/1380.png,dataset/1380_mask.png
426,dataset/1381.png,dataset/1381_mask.png
427,dataset/1382.png,dataset/1382_mask.png
428,dataset/1383.png,dataset/1383_mask.png
429,dataset/1384.png,dataset/1384_mask.png
430,dataset/1385.png,dataset/1385_mask.png
431,dataset/1386.png,dataset/1386_mask.png
432,dataset/1387.png,dataset/1387_mask.png
433,dataset/1388.png,dataset/1388_mask.png
434,dataset/1389.png,dataset/1389_mask.png
435,dataset/139.png,dataset/139_mask.png
436,dataset/1390.png,dataset/1390_mask.png
437,dataset/1391.png,dataset/1391_mask.png
438,dataset/1392.png,dataset/1392_mask.png
439,dataset/1393.png,dataset/1393_mask.png
440,dataset/1394.png,dataset/1394_mask.png
441,dataset/1395.png,dataset/1395_mask.png
442,dataset/1396.png,dataset/1396_mask.png
443,dataset/1397.png,dataset/1397_mask.png
444,dataset/1398.png,dataset/1398_mask.png
445,dataset/1399.png,dataset/1399_mask.png
446,dataset/14.png,dataset/14_mask.png
447,dataset/140.png,dataset/140_mask.png
448,dataset/1400.png,dataset/1400_mask.png
449,dataset/1401.png,dataset/1401_mask.png
450,dataset/1402.png,dataset/1402_mask.png
451,dataset/1403.png,dataset/1403_mask.png
452,dataset/1404.png,dataset/1404_mask.png
453,dataset/1405.png,dataset/1405_mask.png
454,dataset/1406.png,dataset/1406_mask.png
455,dataset/1407.png,dataset/1407_mask.png
456,dataset/1408.png,dataset/1408_mask.png
457,dataset/1409.png,dataset/1409_mask.png
458,dataset/141.png,dataset/141_mask.png
459,dataset/1410.png,dataset/1410_mask.png
460,dataset/1411.png,dataset/1411_mask.png
461,dataset/1412.png,dataset/1412_mask.png
462,dataset/1413.png,dataset/1413_mask.png
463,dataset/1414.png,dataset/1414_mask.png
464,dataset/1415.png,dataset/1415_mask.png
465,dataset/1416.png,dataset/1416_mask.png
466,dataset/1417.png,dataset/1417_mask.png
467,dataset/1418.png,dataset/1418_mask.png
468,dataset/1419.png,dataset/1419_mask.png
469,dataset/142.png,dataset/142_mask.png
470,dataset/1420.png,dataset/1420_mask.png
471,dataset/1421.png,dataset/1421_mask.png
472,dataset/1422.png,dataset/1422_mask.png
473,dataset/1423.png,dataset/1423_mask.png
474,dataset/1424.png,dataset/1424_mask.png
475,dataset/1425.png,dataset/1425_mask.png
476,dataset/1426.png,dataset/1426_mask.png
477,dataset/1427.png,dataset/1427_mask.png
478,dataset/1428.png,dataset/1428_mask.png
479,dataset/1429.png,dataset/1429_mask.png
480,dataset/143.png,dataset/143_mask.png
481,dataset/1430.png,dataset/1430_mask.png
482,dataset/1431.png,dataset/1431_mask.png
483,dataset/1432.png,dataset/1432_mask.png
484,dataset/1433.png,dataset/1433_mask.png
485,dataset/1434.png,dataset/1434_mask.png
486,dataset/1435.png,dataset/1435_mask.png
487,dataset/1436.png,dataset/1436_mask.png
488,dataset/1437.png,dataset/1437_mask.png
489,dataset/1438.png,dataset/1438_mask.png
490,dataset/1439.png,dataset/1439_mask.png
491,dataset/144.png,dataset/144_mask.png
492,dataset/1440.png,dataset/1440_mask.png
493,dataset/1441.png,dataset/1441_mask.png
494,dataset/1442.png,dataset/1442_mask.png
495,dataset/1443.png,dataset/1443_mask.png
496,dataset/1444.png,dataset/1444_mask.png
497,dataset/1445.png,dataset/1445_mask.png
498,dataset/1446.png,dataset/1446_mask.png
499,dataset/1447.png,dataset/1447_mask.png
500,dataset/1448.png,dataset/1448_mask.png
501,dataset/1449.png,dataset/1449_mask.png
502,dataset/145.png,dataset/145_mask.png
503,dataset/1450.png,dataset/1450_mask.png
504,dataset/1451.png,dataset/1451_mask.png
505,dataset/1452.png,dataset/1452_mask.png
506,dataset/1453.png,dataset/1453_mask.png
507,dataset/1454.png,dataset/1454_mask.png
508,dataset/1455.png,dataset/1455_mask.png
509,dataset/1456.png,dataset/1456_mask.png
510,dataset/1457.png,dataset/1457_mask.png
511,dataset/1458.png,dataset/1458_mask.png
512,dataset/1459.png,dataset/1459_mask.png
513,dataset/146.png,dataset/146_mask.png
514,dataset/1460.png,dataset/1460_mask.png
515,dataset/1461.png,dataset/1461_mask.png
516,dataset/1462.png,dataset/1462_mask.png
517,dataset/1463.png,dataset/1463_mask.png
518,dataset/1464.png,dataset/1464_mask.png
519,dataset/1465.png,dataset/1465_mask.png
520,dataset/1466.png,dataset/1466_mask.png
521,dataset/1467.png,dataset/1467_mask.png
522,dataset/1468.png,dataset/1468_mask.png
523,dataset/1469.png,dataset/1469_mask.png
524,dataset/147.png,dataset/147_mask.png
525,dataset/1470.png,dataset/1470_mask.png
526,dataset/1471.png,dataset/1471_mask.png
527,dataset/1472.png,dataset/1472_mask.png
528,dataset/1473.png,dataset/1473_mask.png
529,dataset/1474.png,dataset/1474_mask.png
530,dataset/1475.png,dataset/1475_mask.png
531,dataset/1476.png,dataset/1476_mask.png
532,dataset/1477.png,dataset/1477_mask.png
533,dataset/1478.png,dataset/1478_mask.png
534,dataset/1479.png,dataset/1479_mask.png
535,dataset/148.png,dataset/148_mask.png
536,dataset/1480.png,dataset/1480_mask.png
537,dataset/1481.png,dataset/1481_mask.png
538,dataset/1482.png,dataset/1482_mask.png
539,dataset/1483.png,dataset/1483_mask.png
540,dataset/1484.png,dataset/1484_mask.png
541,dataset/1485.png,dataset/1485_mask.png
542,dataset/1486.png,dataset/1486_mask.png
543,dataset/1487.png,dataset/1487_mask.png
544,dataset/1488.png,dataset/1488_mask.png
545,dataset/1489.png,dataset/1489_mask.png
546,dataset/149.png,dataset/149_mask.png
547,dataset/1490.png,dataset/1490_mask.png
548,dataset/1491.png,dataset/1491_mask.png
549,dataset/1492.png,dataset/1492_mask.png
550,dataset/1493.png,dataset/1493_mask.png
551,dataset/1494.png,dataset/1494_mask.png
552,dataset/1495.png,dataset/1495_mask.png
553,dataset/1496.png,dataset/1496_mask.png
554,dataset/1497.png,dataset/1497_mask.png
555,dataset/1498.png,dataset/1498_mask.png
556,dataset/1499.png,dataset/1499_mask.png
557,dataset/15.png,dataset/15_mask.png
558,dataset/150.png,dataset/150_mask.png
559,dataset/1500.png,dataset/1500_mask.png
560,dataset/1501.png,dataset/1501_mask.png
561,dataset/1502.png,dataset/1502_mask.png
562,dataset/1503.png,dataset/1503_mask.png
563,dataset/1504.png,dataset/1504_mask.png
564,dataset/1505.png,dataset/1505_mask.png
565,dataset/1506.png,dataset/1506_mask.png
566,dataset/1507.png,dataset/1507_mask.png
567,dataset/1508.png,dataset/1508_mask.png
568,dataset/1509.png,dataset/1509_mask.png
569,dataset/151.png,dataset/151_mask.png
570,dataset/1510.png,dataset/1510_mask.png
571,dataset/1511.png,dataset/1511_mask.png
572,dataset/1512.png,dataset/1512_mask.png
573,dataset/1513.png,dataset/1513_mask.png
574,dataset/1514.png,dataset/1514_mask.png
575,dataset/1515.png,dataset/1515_mask.png
576,dataset/1516.png,dataset/1516_mask.png
577,dataset/1517.png,dataset/1517_mask.png
578,dataset/1518.png,dataset/1518_mask.png
579,dataset/1519.png,dataset/1519_mask.png
580,dataset/152.png,dataset/152_mask.png
581,dataset/1520.png,dataset/1520_mask.png
582,dataset/1521.png,dataset/1521_mask.png
583,dataset/1522.png,dataset/1522_mask.png
584,dataset/1523.png,dataset/1523_mask.png
585,dataset/1524.png,dataset/1524_mask.png
586,dataset/1525.png,dataset/1525_mask.png
587,dataset/1526.png,dataset/1526_mask.png
588,dataset/1527.png,dataset/1527_mask.png
589,dataset/1528.png,dataset/1528_mask.png
590,dataset/1529.png,dataset/1529_mask.png
591,dataset/153.png,dataset/153_mask.png
592,dataset/1530.png,dataset/1530_mask.png
593,dataset/1531.png,dataset/1531_mask.png
594,dataset/1532.png,dataset/1532_mask.png
595,dataset/1533.png,dataset/1533_mask.png
596,dataset/1534.png,dataset/1534_mask.png
597,dataset/1535.png,dataset/1535_mask.png
598,dataset/1536.png,dataset/1536_mask.png
599,dataset/1537.png,dataset/1537_mask.png
600,dataset/1538.png,dataset/1538_mask.png
601,dataset/1539.png,dataset/1539_mask.png
602,dataset/154.png,dataset/154_mask.png
603,dataset/1540.png,dataset/1540_mask.png
604,dataset/1541.png,dataset/1541_mask.png
605,dataset/1542.png,dataset/1542_mask.png
606,dataset/1543.png,dataset/1543_mask.png
607,dataset/1544.png,dataset/1544_mask.png
608,dataset/1545.png,dataset/1545_mask.png
609,dataset/1546.png,dataset/1546_mask.png
610,dataset/1547.png,dataset/1547_mask.png
611,dataset/1548.png,dataset/1548_mask.png
612,dataset/1549.png,dataset/1549_mask.png
